Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Type_L,Type_M,Temp_diff,Power,Wear_per_speed
298.1,308.6,1551,42.8,0,0,False,True,10.5,66382.79999999999,0.0
298.2,308.7,1408,46.3,3,0,True,False,10.5,65190.399999999994,0.0021291696238466998
298.1,308.5,1498,49.4,5,0,True,False,10.399999999999977,74001.2,0.00333555703802535
298.2,308.6,1433,39.5,7,0,True,False,10.400000000000034,56603.5,0.0048814504881450485
298.2,308.7,1408,40.0,9,0,True,False,10.5,56320.0,0.0063875088715401
298.1,308.6,1425,41.9,11,0,False,True,10.5,59707.5,0.007713884992987377
298.1,308.6,1558,42.4,14,0,True,False,10.5,66059.2,0.008980115458627326
298.1,308.6,1527,40.2,16,0,True,False,10.5,61385.4,0.010471204188481676
298.3,308.7,1667,28.6,18,0,False,True,10.399999999999977,47676.200000000004,0.01079136690647482
298.5,309.0,1741,28.0,21,0,False,True,10.5,48748.0,0.012055109070034443
298.4,308.9,1782,23.9,24,0,False,False,10.5,42589.799999999996,0.01346045989904655
298.6,309.1,1423,44.3,29,0,False,False,10.5,63038.899999999994,0.020365168539325844
298.6,309.1,1339,51.1,34,0,False,True,10.5,68422.90000000001,0.025373134328358207
298.6,309.2,1742,30.0,37,0,False,True,10.599999999999966,52260.0,0.021227768215720023
298.6,309.2,2035,19.6,40,0,True,False,10.599999999999966,39886.0,0.019646365422396856
298.6,309.2,1542,48.4,42,0,True,False,10.599999999999966,74632.8,0.027219701879455604
298.6,309.2,1311,46.6,44,0,False,True,10.599999999999966,61092.6,0.03353658536585366
298.7,309.2,1410,45.6,47,0,False,True,10.5,64296.0,0.03330970942593905
298.8,309.2,1306,54.5,50,0,False,False,10.399999999999977,71177.0,0.03825554705432287
298.9,309.3,1632,32.5,55,0,False,True,10.400000000000034,53040.0,0.03368034292712799
298.9,309.3,1375,42.7,58,0,False,False,10.400000000000034,58712.50000000001,0.04215116279069767
298.8,309.3,1450,44.8,63,0,True,False,10.5,64959.99999999999,0.043418332184700204
298.9,309.3,1581,30.7,65,0,False,True,10.400000000000034,48536.7,0.04108723135271808
299.0,309.4,1758,25.7,68,0,True,False,10.399999999999977,45180.6,0.038658328595793066
299.0,309.4,1561,37.3,70,0,False,True,10.399999999999977,58225.299999999996,0.04481434058898848
299.0,309.5,1861,23.3,73,0,True,False,10.5,43361.3,0.03920515574650913
299.1,309.5,1512,39.0,75,0,True,False,10.399999999999977,58968.0,0.0495703899537343
299.1,309.4,1811,24.6,77,0,False,False,10.299999999999955,44550.600000000006,0.04249448123620309
299.1,309.4,1439,44.2,82,0,True,False,10.299999999999955,63603.8,0.05694444444444444
299.0,309.4,1693,30.1,84,0,True,False,10.399999999999977,50959.3,0.049586776859504134
299.1,309.5,1339,48.2,86,0,False,True,10.399999999999977,64539.8,0.06417910447761194
299.0,309.4,1798,25.5,89,0,True,False,10.399999999999977,45849.0,0.049471928849360754
299.0,309.4,1419,48.3,91,0,True,False,10.399999999999977,68537.7,0.06408450704225352
298.9,309.3,1665,32.5,93,0,True,False,10.400000000000034,54112.5,0.05582232893157263
298.8,309.1,1559,34.7,95,0,False,True,10.300000000000011,54097.3,0.060897435897435896
298.8,309.2,1452,48.6,98,0,False,True,10.399999999999977,70567.2,0.06744666207845836
298.9,309.2,1581,36.7,101,0,False,True,10.300000000000011,58022.700000000004,0.0638432364096081
298.8,309.1,1439,39.2,104,0,True,False,10.300000000000011,56408.8,0.07222222222222222
298.9,309.2,1379,50.7,106,0,False,False,10.300000000000011,69915.3,0.07681159420289856
298.8,309.1,1350,52.5,111,0,True,False,10.300000000000011,70875.0,0.08216136195410807
298.8,309.1,1362,45.4,113,0,True,False,10.300000000000011,61834.799999999996,0.08290535583272193
298.8,309.1,1368,50.8,115,0,True,False,10.300000000000011,69494.4,0.08400292184075968
298.8,309.1,1368,49.1,117,0,False,True,10.300000000000011,67168.8,0.08546384222059898
298.8,309.2,1372,48.5,120,0,False,False,10.399999999999977,66542.0,0.08739985433357611
298.8,309.1,1472,47.5,125,0,False,True,10.300000000000011,69920.0,0.08486082824168364
298.8,309.1,1489,49.1,128,0,True,False,10.300000000000011,73109.90000000001,0.08590604026845637
298.7,309.0,1843,25.8,130,0,False,True,10.300000000000011,47549.4,0.07049891540130152
298.8,309.1,1418,46.3,133,0,True,False,10.300000000000011,65653.4,0.09372797744890768
298.8,309.2,1425,53.9,135,0,False,False,10.399999999999977,76807.5,0.09467040673211781
298.9,309.2,1412,44.1,140,0,False,True,10.300000000000011,62269.200000000004,0.09907997169143666
298.9,309.1,2861,4.6,143,1,True,False,10.200000000000045,13160.599999999999,0.04996505939902166
298.9,309.1,1383,54.9,145,0,True,False,10.200000000000045,75926.7,0.10476878612716763
298.8,309.0,1497,43.8,147,0,False,False,10.199999999999989,65568.59999999999,0.09813084112149532
298.7,309.0,1565,35.1,152,0,True,False,10.300000000000011,54931.5,0.0970625798212005
298.7,309.0,1691,30.1,154,0,True,False,10.300000000000011,50899.100000000006,0.09101654846335698
298.8,309.1,1512,40.7,156,0,True,False,10.300000000000011,61538.4,0.10310641110376735
298.8,309.1,1477,42.4,158,0,True,False,10.300000000000011,62624.799999999996,0.10690121786197564
298.8,309.1,1513,40.3,160,0,True,False,10.300000000000011,60973.899999999994,0.10568031704095113
298.8,309.0,1661,29.5,162,0,False,True,10.199999999999989,48999.5,0.09747292418772563
298.8,309.1,1378,54.4,165,0,True,False,10.300000000000011,74963.2,0.11965192168237854
298.8,309.1,1393,52.6,167,0,True,False,10.300000000000011,73271.8,0.11979913916786226
298.8,309.0,1592,38.2,169,0,False,True,10.199999999999989,60814.4,0.10608913998744507
298.8,309.0,1829,22.9,172,0,True,False,10.199999999999989,41884.1,0.09398907103825137
298.9,309.0,1812,25.9,174,0,False,True,10.100000000000023,46930.799999999996,0.09597352454495311
299.0,309.1,1523,38.6,177,0,True,False,10.100000000000023,58787.8,0.11614173228346457
299.0,309.1,1394,45.1,179,0,True,False,10.100000000000023,62869.4,0.12831541218637993
298.9,308.9,1679,28.7,181,0,False,True,10.0,48187.299999999996,0.10773809523809524
298.8,308.9,1466,44.1,184,0,False,False,10.099999999999966,64650.6,0.125426039536469
298.8,308.9,1527,32.4,189,0,True,False,10.099999999999966,49474.799999999996,0.12369109947643979
